feature,importance
f_2480,0.00042983794
f_1085,0.00042888388
f_5542,0.00042860035
f_1556,0.00042783018
f_318,0.00042766973
f_1419,0.00042711262
f_4520,0.0004267026
f_5470,0.00042556078
f_5394,0.00042544195
f_3535,0.0004253141
f_3796,0.0004249525
f_6019,0.00042465597
f_3802,0.00042451487
f_2334,0.00042406959
f_4227,0.00042366795
f_2346,0.0004228548
f_1036,0.00042181328
f_2666,0.00041984848
f_4119,0.00041980745
f_2799,0.00041863715
f_4912,0.00041824236
f_17,0.00041800842
f_1223,0.0004179186
f_4017,0.00041737105
f_2159,0.00041720193
f_5534,0.00041689223
f_697,0.00041657858
f_356,0.00041577377
f_5690,0.00041555116
f_766,0.00041525334
f_4717,0.0004143473
f_3263,0.00041410542
f_6171,0.00041370012
f_5683,0.00041330792
f_1392,0.0004131797
f_963,0.00041234586
f_955,0.00041234063
f_1537,0.000412181
f_4669,0.00041200404
f_2600,0.0004119973
f_1946,0.00041136026
f_1251,0.0004105654
f_5677,0.00041035863
f_2662,0.0004103535
f_372,0.00041031602
f_337,0.00041023086
f_1379,0.0004094534
f_2638,0.00040909412
f_673,0.00040821725
f_2147,0.000408052
f_1842,0.0004078818
f_5576,0.00040771248
f_2007,0.00040750433
f_81,0.00040730796
f_2103,0.00040710275
f_6039,0.00040690028
f_5104,0.0004068183
f_2308,0.00040658162
f_3452,0.0004054177
f_2890,0.00040512293
f_1129,0.00040441786
f_5582,0.0004043156
f_4880,0.00040423212
f_608,0.0004038736
f_2590,0.00040342976
f_830,0.00040294367
f_791,0.0004027
f_4848,0.00040265237
f_4463,0.00040242917
f_6198,0.00040241826
f_3424,0.00040241407
f_2573,0.0004017424
f_2043,0.00040132125
f_1145,0.0004011208
f_3551,0.00040104298
f_618,0.0004009258
f_1533,0.00040022095
f_5872,0.00039987112
f_2189,0.00039968325
f_3721,0.0003995776
f_668,0.00039924413
f_1259,0.00039919777
f_1888,0.0003980384
f_1880,0.00039747954
f_2591,0.0003972436
f_5720,0.00039708632
f_2610,0.00039680622
f_193,0.00039626172
f_2175,0.00039561506
f_1319,0.00039555048
f_5516,0.0003950599
f_5171,0.00039498365
f_5654,0.00039487262
f_1522,0.0003948346
f_2978,0.00039414686
f_109,0.0003938831
f_2712,0.0003938052
f_1095,0.0003929239
f_884,0.0003928453
f_5173,0.00039236943
f_2645,0.00039194414
f_4341,0.00039193415
f_1521,0.0003918988
f_1854,0.0003917949
f_4630,0.0003914459
f_821,0.00039068607
f_5746,0.000390676
f_4600,0.0003901153
f_6148,0.00038981246
f_838,0.00038937377
f_5482,0.00038934514
f_2078,0.00038890404
f_1572,0.00038878366
f_3257,0.00038840875
f_3283,0.0003883861
f_1673,0.00038838122
f_6205,0.0003880316
f_1471,0.00038789268
f_3447,0.00038778767
f_5135,0.00038745935
f_378,0.00038743424
f_2655,0.0003872168
f_4007,0.00038697285
f_5402,0.00038679954
f_4429,0.00038639718
f_902,0.0003861718
f_1170,0.00038558737
f_5610,0.000385468
f_4945,0.00038519042
f_4900,0.00038499953
f_575,0.00038449056
f_5207,0.00038438948
f_1463,0.00038427103
f_5518,0.00038408325
f_1601,0.00038407373
f_965,0.0003839505
f_2571,0.00038361398
f_1991,0.00038347807
f_4151,0.00038325103
f_862,0.00038311924
f_5248,0.0003820801
f_942,0.00038207945
f_5625,0.00038194444
f_1481,0.00038163934
f_827,0.00038134385
f_847,0.00038058558
f_978,0.00038033814
f_1857,0.00037924823
f_401,0.00037921857
f_2235,0.00037914352
f_3039,0.00037913726
f_441,0.000378068
f_1672,0.00037804674
f_667,0.00037781
f_1454,0.0003775053
f_2161,0.00037749342
f_5896,0.00037676535
f_3300,0.00037663835
f_5657,0.00037647967
f_5421,0.0003761651
f_1664,0.0003757948
f_3741,0.00037539907
f_220,0.0003746641
f_278,0.00037456234
f_4325,0.00037419682
f_2691,0.00037406295
f_1102,0.000372227
f_1260,0.00037222
f_3448,0.000371741
f_2852,0.00037169224
f_5375,0.00037160658
f_2560,0.000371355
f_925,0.00037120288
f_727,0.00037118705
f_2005,0.00037111732
f_1931,0.00037109895
f_2713,0.00037106563
f_2058,0.00037060885
f_285,0.0003705061
f_2533,0.00037018594
f_1334,0.00036986882
f_737,0.0003694998
f_3291,0.00036946594
f_598,0.00036922883
f_353,0.00036843054
f_543,0.000368204
f_482,0.00036800205
f_4087,0.00036796855
f_5587,0.0003676745
f_2515,0.00036743487
f_5903,0.00036696997
f_5322,0.0003667525
f_5724,0.00036623652
f_4197,0.00036577444
f_2133,0.0003656311
f_1539,0.00036546207
f_5140,0.000365328
f_3868,0.0003652138
f_5682,0.0003650191
f_2392,0.00036491227
f_143,0.00036488412
f_4935,0.0003647108
f_1587,0.00036387425
f_4285,0.000363649
f_3494,0.00036362966
f_4857,0.0003635625
f_4249,0.00036340786
f_781,0.00036321624
f_5940,0.00036288868
f_5560,0.00036286534
f_5969,0.00036264025
f_197,0.00036240215
f_176,0.00036212266
f_2857,0.0003620133
f_6029,0.00036139734
f_488,0.00036122804
f_5355,0.00036115924
f_492,0.00036114382
f_1008,0.00036112906
f_3162,0.00036109332
f_1914,0.00036108468
f_88,0.00036021322
f_1764,0.0003599697
f_719,0.00035982512
f_2563,0.00035958647
f_2618,0.00035913943
f_3175,0.00035853003
f_1803,0.0003579655
f_5335,0.00035748523
f_5786,0.00035724515
f_4784,0.00035684675
f_1115,0.00035681558
f_2763,0.00035673977
f_1256,0.00035658354
f_2807,0.0003565726
f_5878,0.00035638807
f_3583,0.00035561412
